Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-1.4016 34.6567 7.9133	-1.11071 36.5812 10.3722	-0.924651 39.9098 11.367	-0.811406 43.3309 11.9894	-0.932241 46.8056 11.8618	-1.27785 55.8415 10.0343	-1.31106 60.5737 9.33467	0.0856847 53.1792 9.58881	5.21358 56.0573 10.2891	15.4018 53.6881 10.4458	24.3092 53.6626 7.73933	-2.29061 53.0565 9.43139	-7.41369 55.8598 10.4135	-17.5357 53.2222 10.5696	-26.4796 53.1735 7.98653	1.96873 33.2117 7.54899	3.07735 17.1822 6.82957	4.15158 1.82394 10.5447	-5.04209 34.1543 7.64062	-4.44945 18.2059 9.63748	-4.22766 2.3937 10.5081	
-1.2768 34.6983 7.7516	-1.00736 36.5965 10.2333	-0.797445 39.9136 11.2611	-0.668202 43.3276 11.9185	-0.796536 46.8026 11.8095	-1.17998 55.8425 10.0094	-1.2259 60.571 9.28577	0.189042 53.1857 9.5486	5.34529 56.0078 10.2683	15.5305 53.6221 10.3579	24.4306 53.6278 7.62759	-2.18773 53.0561 9.40442	-7.34133 55.7751 10.4611	-17.459 53.1199 10.6053	-26.3995 53.1178 8.01051	2.11581 33.3154 7.35453	2.99315 17.2568 7.14599	4.08748 1.82906 10.5547	-4.90947 34.1376 7.48837	-4.36016 18.2056 9.62424	-4.22964 2.39332 10.5105	
-1.12371 34.8087 7.6808	-0.924237 36.7207 10.1585	-0.753971 40.0366 11.1976	-0.64585 43.4478 11.8727	-0.753244 46.9235 11.7599	-1.06783 55.9613 9.93658	-1.13309 60.6921 9.22958	0.28229 53.2934 9.4844	5.46978 56.0514 10.2278	15.6354 53.5823 10.2667	24.5244 53.5629 7.50054	-2.09517 53.1809 9.33723	-7.27985 55.808 10.4716	-17.3624 53.0253 10.6637	-26.2934 53.0119 8.03618	2.30975 33.5232 7.3081	3.00879 17.4567 7.04906	4.07937 2.03467 10.4912	-4.73702 34.1426 7.39746	-4.2767 18.2108 9.55537	-4.20865 2.40175 10.5046	
-0.99751 34.9126 7.6389	-0.883794 36.8576 10.0962	-0.773914 40.1756 11.1368	-0.696026 43.5865 11.8177	-0.767724 47.0631 11.7077	-0.964271 56.108 9.90269	-1.04575 60.8441 9.23374	0.357703 53.4255 9.45374	5.54929 56.1806 10.1788	15.6857 53.5942 10.187	24.5645 53.4961 7.3898	-2.01983 53.3412 9.29001	-7.20845 55.952 10.4437	-17.2357 52.9819 10.7103	-26.167 52.8637 8.08667	2.46798 33.6943 7.34559	3.15513 17.6293 6.97863	4.12784 2.20531 10.4409	-4.59045 34.1684 7.29694	-4.2501 18.2229 9.3746	-4.19434 2.425 10.4945	
-0.910509 34.9979 7.6004	-0.85675 36.9676 10.0401	-0.78445 40.2887 11.0739	-0.723438 43.7015 11.7474	-0.770902 47.1789 11.6518	-0.887077 56.2376 9.91024	-0.965529 60.9762 9.25935	0.419129 53.5488 9.45293	5.60196 56.3269 10.1525	15.7163 53.6552 10.127	24.583 53.4814 7.29558	-1.95752 53.4829 9.26906	-7.13843 56.116 10.4068	-17.1304 53.0319 10.7022	-26.0749 52.7588 8.13541	2.57006 33.8076 7.37947	3.36934 17.7464 7.08185	4.17849 2.28572 10.4203	-4.49029 34.2185 7.20329	-4.24958 18.2524 9.13087	-4.17311 2.47175 10.4714	
-0.83371 35.0541 7.5686	-0.797297 37.0387 9.99646	-0.73605 40.3652 11.0138	-0.682571 43.7817 11.6686	-0.728331 47.2596 11.5895	-0.8308 56.3318 9.91881	-0.894443 61.0703 9.26573	0.476789 53.646 9.44764	5.65791 56.4296 10.138	15.7704 53.7517 10.079	24.6226 53.5294 7.20574	-1.89882 53.5828 9.24992	-7.07909 56.2263 10.3661	-17.0783 53.1646 10.6465	-26.0353 52.7469 8.14344	2.64971 33.8672 7.37596	3.53043 17.8078 7.27586	4.21568 2.30115 10.4232	-4.41 34.2675 7.15468	-4.2391 18.2841 8.94201	-4.14864 2.51809 10.444	
-0.755811 35.0811 7.5426	-0.698382 37.0765 9.9612	-0.627659 40.4074 10.9633	-0.575664 43.8268 11.603	-0.638145 47.3046 11.5346	-0.786807 56.3829 9.90088	-0.837255 61.1204 9.23947	0.53384 53.7056 9.41801	5.72025 56.4817 10.0989	15.8489 53.8661 10.0236	24.6873 53.6144 7.1105	-1.84154 53.6313 9.22147	-7.02407 56.2805 10.3136	-17.0569 53.3272 10.5532	-26.0234 52.7816 8.10941	2.72476 33.8896 7.32809	3.59234 17.8299 7.47594	4.22118 2.28226 10.4269	-4.33603 34.2964 7.16012	-4.21332 18.3042 8.87016	-4.13444 2.54338 10.4263	
-0.677713 35.0849 7.49881	-0.574728 37.0824 9.91421	-0.486519 40.4146 10.9105	-0.436076 43.8346 11.547	-0.525091 47.3119 11.4801	-0.751162 56.3881 9.84354	-0.790088 61.1267 9.18937	0.586895 53.7206 9.35442	5.77442 56.496 10.0292	15.925 53.9668 9.95576	24.7561 53.716 7.02028	-1.78892 53.6283 9.17112	-6.9655 56.2958 10.2468	-17.0311 53.4537 10.455	-26.0082 52.8362 8.06811	2.79696 33.8887 7.22352	3.60829 17.8321 7.68925	4.20673 2.24525 10.4322	-4.26518 34.3046 7.18074	-4.17331 18.3113 8.8832	-4.13218 2.54877 10.4232	
-0.600414 35.0658 7.43411	-0.446606 37.0561 9.8527	-0.345912 40.3878 10.8497	-0.299875 43.8071 11.4903	-0.414089 47.2835 11.4191	-0.715693 56.3531 9.75833	-0.742358 61.0955 9.1311	0.636099 53.6933 9.26536	5.8138 56.4865 9.94263	15.9801 54.0206 9.88816	24.8115 53.8345 6.94904	-1.74053 53.5845 9.10292	-6.90472 56.2798 10.1687	-16.9893 53.5058 10.3803	-25.9904 52.8906 8.08523	2.8676 33.8703 7.08251	3.62374 17.8243 7.88524	4.19824 2.20471 10.4407	-4.19384 34.2866 7.18903	-4.12359 18.2971 8.9281	-4.13755 2.53097 10.4312	
-0.525715 35.038 7.36581	-0.335625 37.0164 9.7916	-0.234537 40.3473 10.791	-0.197052 43.766 11.4355	-0.328543 47.2417 11.3559	-0.680158 56.3034 9.66261	-0.696633 61.05 9.06784	0.678748 53.6472 9.16951	5.8429 56.462 9.86061	16.0178 54.0312 9.83034	24.8529 53.9746 6.89711	-1.69859 53.5281 9.02573	-6.85298 56.2429 10.0893	-16.9417 53.4875 10.3406	-25.9751 52.948 8.15566	2.93843 33.8519 6.95017	3.6436 17.8203 8.03794	4.19937 2.17665 10.4458	-4.12109 34.2522 7.17691	-4.07215 18.2685 8.96883	-4.14412 2.49989 10.4445	
