Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.760015 -0.0326339 -0.0280715 0.648478	0.746515 -0.00298923 0.00306391 0.665355	0.743806 0.00293621 0.00630081 0.668359	0.737825 0.0284176 0.0360788 0.673428	0.738441 0.0215376 0.0370391 0.672956	0.7161 -0.00256307 0.0444856 0.696574	0.700204 -0.0193296 0.0774585 0.709465	0.745468 0.0449656 0.0778733 0.660448	0.812294 0.123659 -0.0556706 0.567264	0.816412 0.0926497 -0.0340378 0.568972	0.798091 0.218111 0.113567 0.550073	0.755056 -0.0730374 0.0335011 0.650718	0.758284 0.122763 -0.0487502 0.638403	0.768126 0.0068803 0.048186 0.638446	0.751692 -0.106577 -0.0914494 0.64439	0.773148 0.14013 -0.0136167 0.618401	0.562478 0.138121 0.0272858 0.814737	0.572558 0.15207 -0.0667097 0.802871	0.690969 0.0589142 -0.0417102 0.719271	0.637881 0.0617405 -0.0373998 0.766744	0.724015 0.0998058 0.00104045 0.682524	
0.757468 -0.0386619 -0.0306963 0.651003	0.746908 -0.00777656 -0.000364563 0.664882	0.744792 -0.00196829 0.00276428 0.667288	0.739905 0.0275966 0.033208 0.671324	0.740806 0.022516 0.0348529 0.670436	0.719668 0.00204759 0.0444375 0.692891	0.704136 -0.0144178 0.0779813 0.705623	0.747862 0.043842 0.0740834 0.658249	0.815615 0.126497 -0.0570087 0.561712	0.819877 0.095028 -0.0353585 0.56349	0.801115 0.220596 0.115239 0.544309	0.759139 -0.0689817 0.0309089 0.646525	0.763072 0.124974 -0.0523096 0.631955	0.773207 0.00694818 0.0448355 0.632529	0.756831 -0.105327 -0.0958154 0.637913	0.746663 0.149802 -0.0315143 0.647349	0.572341 0.153005 0.00481598 0.805601	0.631808 0.154892 -0.0510462 0.757774	0.688918 0.0598669 -0.0456874 0.720916	0.635931 0.0629631 -0.0413163 0.768062	0.724281 0.0988986 0.00205567 0.682372	
0.75638 -0.0412457 -0.0283508 0.652214	0.747249 -0.0120389 -0.00161783 0.664433	0.745545 -0.00667451 0.00134665 0.666421	0.741079 0.0236328 0.0306255 0.670302	0.742453 0.0201279 0.0327318 0.668795	0.722896 0.00524316 0.0448327 0.689481	0.709163 -0.0105132 0.078308 0.700604	0.749595 0.0413685 0.070067 0.656876	0.818323 0.127769 -0.0589756 0.557265	0.822516 0.0971818 -0.0381659 0.559076	0.80484 0.224631 0.115764 0.537003	0.761949 -0.0632675 0.0304059 0.643822	0.767248 0.127721 -0.0555764 0.626042	0.777766 0.00786121 0.0416426 0.627123	0.761631 -0.103314 -0.0999526 0.631866	0.719166 0.158267 -0.0454849 0.675043	0.593518 0.163705 -0.0178296 0.787794	0.669602 0.150222 -0.0407923 0.726225	0.687116 0.0582001 -0.0459925 0.722751	0.634394 0.0613009 -0.0417702 0.769443	0.723221 0.095989 0.0013496 0.683912	
0.755552 -0.0405757 -0.0226062 0.65344	0.747779 -0.0152244 -0.000828749 0.663772	0.746324 -0.0104657 0.00196552 0.665497	0.741492 0.0171441 0.0284091 0.67014	0.743101 0.0146984 0.0306318 0.668316	0.725596 0.00718681 0.0456451 0.686568	0.714847 -0.00769722 0.0777775 0.694899	0.750145 0.0382764 0.0663887 0.656818	0.820172 0.127334 -0.0615708 0.554358	0.824054 0.0991505 -0.0425358 0.556143	0.808549 0.227406 0.115257 0.530331	0.763356 -0.0566593 0.0311863 0.642732	0.770319 0.13111 -0.058308 0.621305	0.781333 0.00997636 0.0388179 0.622826	0.76508 -0.10017 -0.1043 0.627487	0.693445 0.171246 -0.0620977 0.697104	0.614029 0.176955 -0.0432234 0.767976	0.68572 0.141516 -0.0384085 0.712941	0.685685 0.0543305 -0.0433381 0.724573	0.633638 0.0572127 -0.039455 0.770502	0.721384 0.0921467 -0.000739226 0.686377	
0.753584 -0.0377908 -0.0147348 0.656099	0.748484 -0.0181262 0.000946111 0.662904	0.747181 -0.0140287 0.00363452 0.664463	0.741208 0.00910817 0.0263619 0.670696	0.742722 0.00750107 0.0287885 0.668939	0.728433 0.00880636 0.0465558 0.683477	0.720569 -0.00524566 0.076573 0.689122	0.749699 0.0344485 0.0628511 0.657886	0.820885 0.125563 -0.0646621 0.553355	0.824322 0.100548 -0.0478091 0.555065	0.81205 0.229892 0.112103 0.524555	0.763991 -0.0497776 0.0323444 0.64249	0.772615 0.135122 -0.0601994 0.617401	0.784226 0.0134784 0.0364269 0.619259	0.767734 -0.096611 -0.106636 0.624403	0.675296 0.178816 -0.0689674 0.71221	0.630698 0.182682 -0.0579565 0.751989	0.687302 0.13489 -0.0411408 0.712551	0.684813 0.0484407 -0.0378388 0.726121	0.633369 0.0509232 -0.0344254 0.771405	0.719237 0.0881313 -0.00473062 0.689137	
0.750385 -0.0334231 -0.00555018 0.660132	0.749015 -0.0198265 0.00396737 0.662244	0.747788 -0.0166125 0.00631816 0.6637	0.740576 0.000462043 0.0242157 0.671536	0.741868 -0.000507034 0.0266306 0.670017	0.731634 0.00990145 0.0470521 0.68	0.725186 -0.00334777 0.0747659 0.684474	0.74872 0.03042 0.0601038 0.659454	0.820866 0.122527 -0.0684524 0.553607	0.823751 0.101333 -0.0541632 0.555188	0.815024 0.231372 0.10759 0.520219	0.764092 -0.0441223 0.0331613 0.642742	0.77399 0.139821 -0.0609673 0.614551	0.786304 0.0183372 0.0348877 0.616581	0.770994 -0.0913083 -0.106879 0.621134	0.668468 0.16404 -0.0497579 0.723716	0.647616 0.165389 -0.0450726 0.742435	0.682183 0.130372 -0.0438538 0.718127	0.684419 0.0421714 -0.0319456 0.727167	0.633362 0.044247 -0.0290026 0.772045	0.717103 0.0837233 -0.00872101 0.691865	
0.745876 -0.0299976 0.00315374 0.665401	0.748118 -0.0199072 0.00868204 0.663211	0.746797 -0.0178437 0.0102205 0.664734	0.739785 -0.00743644 0.022506 0.672426	0.741274 -0.00816565 0.0242794 0.670714	0.73458 0.00950872 0.046656 0.676849	0.72848 -0.00242484 0.0727501 0.681189	0.748201 0.0272298 0.0583325 0.660341	0.820527 0.118686 -0.0723262 0.554453	0.822849 0.101341 -0.0606077 0.555856	0.816968 0.231698 0.0998903 0.518558	0.763914 -0.041232 0.0330284 0.643152	0.77449 0.144418 -0.0604817 0.612903	0.787453 0.0246889 0.033639 0.61496	0.773239 -0.0827026 -0.105692 0.619751	0.66749 0.136619 -0.0178551 0.731761	0.662706 0.136732 -0.0169641 0.736096	0.677804 0.126813 -0.0473835 0.722672	0.684632 0.0373873 -0.0284142 0.727375	0.633292 0.0392428 -0.0257911 0.772487	0.71582 0.0808429 -0.011618 0.693492	
0.740648 -0.0296889 0.0104984 0.671155	0.745511 -0.0199521 0.0147822 0.666031	0.743849 -0.0189209 0.0153501 0.667903	0.738668 -0.0134256 0.0219813 0.673578	0.740926 -0.0143542 0.022471 0.671057	0.737295 0.00770213 0.0450547 0.674022	0.731274 -0.00300688 0.069831 0.678493	0.748777 0.0247178 0.0566903 0.659931	0.820235 0.114649 -0.0755665 0.555302	0.822038 0.100915 -0.0662689 0.556488	0.817483 0.230677 0.09097 0.519841	0.76386 -0.0406479 0.0320782 0.643302	0.773403 0.148036 -0.0595051 0.613508	0.786788 0.032119 0.0318112 0.615565	0.77342 -0.0719893 -0.102945 0.621322	0.668078 0.1137 0.00764453 0.735313	0.672186 0.113741 0.00700759 0.73156	0.676186 0.126246 -0.0508695 0.724049	0.685061 0.0349251 -0.0284511 0.727092	0.633266 0.0368048 -0.0259738 0.772622	0.71517 0.0792108 -0.0136689 0.694313	
0.735278 -0.0336466 0.0160726 0.676739	0.741811 -0.0219088 0.0214394 0.669908	0.739732 -0.0215287 0.0212001 0.672223	0.736978 -0.0174794 0.0232144 0.675292	0.740202 -0.0184557 0.0223233 0.67176	0.740012 0.00413337 0.0426284 0.671228	0.734194 -0.00500025 0.0657026 0.675735	0.749551 0.0224165 0.0550751 0.65927	0.820017 0.11118 -0.0780706 0.555982	0.821472 0.0998619 -0.0703968 0.557006	0.81718 0.229182 0.0835807 0.522214	0.763589 -0.0419032 0.0310339 0.643593	0.771186 0.149705 -0.0591483 0.615924	0.784558 0.0401038 0.0277906 0.618133	0.77203 -0.0606359 -0.0997798 0.624769	0.669882 0.100389 0.021925 0.735323	0.676617 0.100586 0.0210007 0.72913	0.678011 0.125791 -0.0551275 0.722107	0.685053 0.0349449 -0.0318606 0.726956	0.633714 0.0370427 -0.0293952 0.772121	0.715313 0.0784636 -0.0137011 0.69425	
0.730905 -0.0401846 0.0203486 0.680991	0.738402 -0.0264907 0.0272629 0.673289	0.736014 -0.0262463 0.0266106 0.675934	0.734903 -0.0195188 0.0257969 0.6774	0.738713 -0.0200677 0.0238779 0.673298	0.742489 -0.000465993 0.0398658 0.66867	0.737465 -0.00775153 0.0608702 0.672592	0.749383 0.019974 0.0533219 0.659684	0.819413 0.108829 -0.0798405 0.557085	0.820751 0.0982303 -0.0726346 0.55807	0.815966 0.228274 0.0802865 0.525018	0.762831 -0.0447517 0.0308498 0.644309	0.768278 0.149864 -0.0595185 0.619473	0.781274 0.0481796 0.0219453 0.621939	0.768358 -0.0507838 -0.0995176 0.630193	0.673027 0.0951427 0.0262366 0.733004	0.67735 0.0952963 0.0256734 0.72901	0.68122 0.1236 -0.0601269 0.719059	0.683946 0.0369683 -0.037765 0.727616	0.634948 0.0393566 -0.0352691 0.770745	0.716174 0.077947 -0.0141163 0.693412	
