Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-2.2072 34.9712 7.0483	-2.00082 36.8301 9.56551	-1.90881 40.1616 10.5638	-1.87472 43.5884 11.1642	-1.99245 47.0578 10.934	-2.2758 56.0228 8.77633	-2.29171 60.7161 7.85081	-0.903957 53.3459 8.46394	4.00603 56.5689 9.22132	14.356 55.0505 9.11591	23.2005 55.4915 6.24439	-3.27516 53.2184 8.24547	-8.31438 56.2366 8.99781	-18.5318 54.0693 8.41154	-27.1044 54.4983 4.80694	1.25289 33.8025 6.55653	3.04725 18.3543 2.45462	4.3095 3.85383 8.69755	-5.80469 34.1996 6.84193	-4.86803 18.2948 9.045	-4.23768 2.51151 10.1942	
-2.1472 34.8779 6.8535	-1.89859 36.7381 9.36598	-1.77269 40.0638 10.3799	-1.71637 43.4858 11.005	-1.84796 46.957 10.812	-2.19336 55.9402 8.74093	-2.22084 60.6334 7.81481	-0.812564 53.2727 8.39003	4.10431 56.4837 9.15374	14.4504 54.9452 8.98384	23.2852 55.3758 6.08079	-3.18522 53.1363 8.19383	-8.22569 56.1312 9.02632	-18.4459 53.9643 8.48815	-27.0014 54.4474 4.84985	1.2915 33.654 6.34621	3.00337 17.9176 3.49541	4.26118 3.19182 9.18753	-5.7574 34.1625 6.66717	-4.8394 18.2744 8.99454	-4.25438 2.49405 10.2063	
-2.05121 34.8433 6.69741	-1.79206 36.7014 9.21032	-1.64385 40.0226 10.2359	-1.57334 43.4411 10.8787	-1.71473 46.9131 10.7083	-2.10336 55.9056 8.68568	-2.1456 60.5987 7.75977	-0.717503 53.2441 8.31022	4.2202 56.4194 9.08864	14.5573 54.8325 8.83721	23.3819 55.2297 5.89859	-3.09123 53.1015 8.13228	-8.14452 56.0482 9.05446	-18.36 53.8503 8.5543	-26.8992 54.3737 4.88331	1.38435 33.6157 6.17782	2.88477 17.7192 4.24416	4.14017 2.77524 9.33677	-5.66284 34.1323 6.52261	-4.7838 18.2572 8.9512	-4.25006 2.47864 10.2103	
-1.94181 34.8266 6.57781	-1.69998 36.6935 9.08594	-1.55877 40.0118 10.1218	-1.48917 43.4278 10.778	-1.62425 46.9005 10.6167	-2.00113 55.8979 8.6138	-2.05833 60.5937 7.70288	-0.622186 53.2342 8.22807	4.32973 56.387 9.00746	14.6529 54.7229 8.68949	23.4659 55.0625 5.70925	-2.99682 53.0969 8.0582	-8.06172 56.0002 9.05181	-18.2651 53.736 8.60276	-26.7973 54.2718 4.91756	1.50145 33.6145 6.07295	2.82943 17.6244 4.95762	4.042 2.4902 9.46496	-5.54929 34.0971 6.39355	-4.72385 18.2247 8.85818	-4.22573 2.45235 10.2062	
-1.82991 34.8367 6.47931	-1.62727 36.7135 8.9835	-1.50364 40.0296 10.0286	-1.44114 43.4435 10.6964	-1.56298 46.917 10.5419	-1.8991 55.92 8.55708	-1.96744 60.6177 7.65661	-0.530851 53.2514 8.16778	4.43381 56.3907 8.92008	14.7378 54.6223 8.54738	23.5344 54.8863 5.51138	-2.90581 53.1244 7.9943	-7.97628 56.0052 9.02407	-18.1606 53.6455 8.6379	-26.698 54.152 4.96071	1.62451 33.6378 6.02162	2.80469 17.6063 5.48176	3.95823 2.33032 9.4998	-5.43167 34.091 6.2529	-4.67506 18.2206 8.75284	-4.2104 2.45608 10.2	
-1.71521 34.8867 6.40421	-1.56383 36.7703 8.90696	-1.45747 40.0864 9.9537	-1.40317 43.4999 10.6242	-1.51039 46.9739 10.4705	-1.79752 55.9803 8.49321	-1.87197 60.6803 7.60513	-0.438586 53.3063 8.10845	4.54441 56.4206 8.84329	14.8265 54.5385 8.42755	23.6005 54.7152 5.32063	-2.8131 53.1897 7.92214	-7.89688 56.0401 8.97059	-18.0598 53.5817 8.63953	-26.6099 54.0286 4.98407	1.75317 33.7075 6.00452	2.85448 17.6616 5.91391	3.96468 2.2839 9.53672	-5.30838 34.1189 6.12204	-4.6299 18.2427 8.60767	-4.19637 2.49039 10.1911	
-1.60751 34.9635 6.34481	-1.50247 36.8516 8.8465	-1.41278 40.1683 9.89314	-1.36521 43.5818 10.5638	-1.45956 47.0562 10.4099	-1.7047 56.065 8.43801	-1.77652 60.7658 7.55398	-0.352903 53.3866 8.05869	4.6532 56.4668 8.78001	14.9136 54.4781 8.32598	23.6606 54.5609 5.13992	-2.72674 53.2783 7.85921	-7.82675 56.1008 8.90443	-17.9718 53.5633 8.62705	-26.5422 53.9156 5.00885	1.87352 33.8061 5.99434	2.93653 17.7598 6.27237	3.97175 2.29441 9.52521	-5.19147 34.1721 6.01477	-4.58956 18.2836 8.44046	-4.17437 2.54631 10.1715	
-1.51601 35.0284 6.31011	-1.43024 36.9273 8.80435	-1.35463 40.2464 9.84449	-1.31465 43.6614 10.508	-1.40124 47.136 10.3535	-1.61937 56.1471 8.38887	-1.68602 60.8493 7.51202	-0.27207 53.466 8.01208	4.75263 56.5189 8.72032	14.994 54.4407 8.23764	23.7127 54.4293 4.97418	-2.64539 53.3632 7.80379	-7.7523 56.1784 8.83486	-17.8803 53.5724 8.56895	-26.4814 53.8129 5.01506	1.97061 33.8812 5.98258	3.04232 17.843 6.54877	4.00013 2.3185 9.53259	-5.09557 34.2237 5.9648	-4.56271 18.3183 8.29423	-4.15479 2.59514 10.1508	
-1.44911 35.0755 6.2864	-1.35439 36.9884 8.76963	-1.28463 40.3102 9.80151	-1.25023 43.7269 10.4563	-1.33494 47.2015 10.3015	-1.54311 56.2147 8.34542	-1.59729 60.9185 7.47636	-0.199142 53.5324 7.96561	4.84065 56.562 8.66625	15.0664 54.414 8.15975	23.7579 54.3211 4.8256	-2.57266 53.4325 7.75813	-7.68163 56.2503 8.77202	-17.7968 53.595 8.50808	-26.4256 53.7248 5.01609	2.037 33.9291 5.95072	3.12452 17.904 6.78986	4.01616 2.33112 9.53277	-5.02946 34.2662 5.96056	-4.553 18.3444 8.18774	-4.15152 2.63248 10.1385	
-1.38891 35.0938 6.26061	-1.2693 37.0195 8.73281	-1.20171 40.3445 9.75471	-1.174 43.7631 10.3998	-1.26389 47.2377 10.2465	-1.4801 56.2533 8.30275	-1.51197 60.9588 7.44174	-0.13776 53.5715 7.91393	4.91615 56.5782 8.61153	15.1304 54.379 8.09234	23.7975 54.2376 4.69702	-2.51212 53.4719 7.71621	-7.61521 56.3044 8.71865	-17.7216 53.6159 8.45404	-26.375 53.67 5.02135	2.09324 33.9438 5.89726	3.17015 17.9365 7.03687	4.02741 2.32227 9.54531	-4.97262 34.2847 5.97355	-4.5394 18.3534 8.14017	-4.15415 2.64637 10.1336	
-1.31832 35.0818 6.2292	-1.17086 37.0162 8.69317	-1.10128 40.3434 9.70726	-1.07914 43.7633 10.3458	-1.18085 47.2376 10.1939	-1.42818 56.254 8.25726	-1.43094 60.9615 7.40685	-0.0835045 53.575 7.85727	4.98069 56.5648 8.5531	15.1864 54.3268 8.03081	23.834 54.1706 4.58692	-2.45902 53.471 7.67639	-7.55771 56.3148 8.66887	-17.6616 53.6178 8.39671	-26.3378 53.6433 5.02165	2.16022 33.9333 5.82833	3.18096 17.9487 7.29121	4.03672 2.2971 9.55565	-4.90452 34.2689 5.98767	-4.51619 18.3328 8.12798	-4.16419 2.62749 10.1406	
-1.25262 35.0499 6.18721	-1.08234 36.9856 8.64863	-1.00862 40.3142 9.65831	-0.989503 43.7346 10.2942	-1.10222 47.2086 10.1438	-1.38008 56.2249 8.21107	-1.35521 60.9348 7.37414	-0.0332595 53.5485 7.80094	5.03735 56.528 8.49424	15.2383 54.2704 7.96439	23.8786 54.119 4.50178	-2.40979 53.4401 7.63683	-7.50607 56.2903 8.62359	-17.6157 53.6147 8.35082	-26.3051 53.6432 5.01012	2.22346 33.9073 5.74989	3.17058 17.9483 7.51173	4.04156 2.26856 9.56601	-4.83976 34.2307 5.98416	-4.47723 18.2968 8.14527	-4.16207 2.58964 10.1497	
-1.19592 35.0116 6.13531	-1.01302 36.9426 8.59957	-0.934379 40.2714 9.60798	-0.915338 43.6919 10.2431	-1.03555 47.1657 10.0919	-1.33541 56.1805 8.15574	-1.28654 60.893 7.33459	0.0134225 53.5059 7.74086	5.0872 56.4809 8.43003	15.287 54.2205 7.88966	23.9323 54.0804 4.4392	-2.36368 53.3939 7.58769	-7.45611 56.2477 8.58372	-17.5753 53.6078 8.3181	-26.2693 53.6698 4.98979	2.2794 33.8768 5.67244	3.15613 17.9463 7.7075	4.04447 2.24401 9.5734	-4.78272 34.1857 5.95449	-4.43349 18.2594 8.17321	-4.15822 2.54919 10.1592	
-1.14741 34.975 6.08012	-0.964379 36.9016 8.54778	-0.883584 40.2294 9.5594	-0.863453 43.6492 10.1985	-0.98493 47.1228 10.0467	-1.28901 56.1362 8.10413	-1.2257 60.85 7.2915	0.059329 53.4614 7.68893	5.13235 56.4391 8.37185	15.332 54.1828 7.81238	23.9872 54.0502 4.38637	-2.31803 53.3491 7.54003	-7.40688 56.2066 8.54356	-17.5337 53.5947 8.29234	-26.225 53.7043 4.95828	2.32907 33.8465 5.61067	3.15465 17.9417 7.85722	4.04764 2.2232 9.5788	-4.73315 34.1439 5.9023	-4.39023 18.229 8.20216	-4.15682 2.5151 10.1647	
-1.10111 34.9567 6.03561	-0.928292 36.8828 8.50437	-0.847519 40.2088 9.52185	-0.824858 43.6275 10.167	-0.943922 47.1011 10.0131	-1.24333 56.1124 8.06004	-1.16875 60.8268 7.25187	0.103892 53.4364 7.64831	5.17776 56.4156 8.3189	15.3774 54.1649 7.73607	24.0426 54.0351 4.33541	-2.27348 53.3251 7.49891	-7.36089 56.1823 8.51059	-17.4926 53.5868 8.28747	-26.1723 53.7427 4.92514	2.37792 33.8311 5.57803	3.16384 17.9455 7.96953	4.04871 2.21516 9.5836	-4.68552 34.1226 5.84508	-4.35014 18.2194 8.22539	-4.15682 2.502 10.1638	
-1.06021 34.9537 5.99871	-0.900095 36.8844 8.46478	-0.819369 40.2088 9.48727	-0.792747 43.6262 10.1388	-0.907458 47.1001 9.98563	-1.19839 56.1114 8.03185	-1.12106 60.8251 7.21942	0.147093 53.4344 7.62131	5.22293 56.4133 8.27801	15.4216 54.1664 7.66484	24.0949 54.0245 4.28532	-2.23024 53.3249 7.47004	-7.31786 56.1786 8.49054	-17.4515 53.5896 8.27954	-26.1205 53.786 4.89176	2.42061 33.825 5.56296	3.18142 17.9496 8.02915	4.054 2.21292 9.58751	-4.64404 34.1216 5.78945	-4.31296 18.2287 8.23809	-4.14619 2.50931 10.163	
-1.02251 34.9615 5.96501	-0.87188 36.8972 8.42768	-0.792315 40.2214 9.4514	-0.763436 43.6383 10.1052	-0.873333 47.1125 9.95597	-1.15333 56.1266 8.01338	-1.07821 60.8389 7.19295	0.189747 53.4488 7.60059	5.26774 56.4262 8.2473	15.4668 54.1897 7.60246	24.1465 54.0239 4.24057	-2.18757 53.3419 7.44716	-7.27329 56.1949 8.47887	-17.4082 53.6111 8.26666	-26.0703 53.833 4.86284	2.459 33.8278 5.54832	3.19929 17.9575 8.05395	4.05417 2.21753 9.58829	-4.60629 34.1332 5.74039	-4.28723 18.2518 8.26433	-4.15432 2.52909 10.1644	
-0.99771 34.9747 5.93481	-0.850701 36.9152 8.39395	-0.769051 40.2396 9.41651	-0.735844 43.6567 10.0699	-0.84099 47.1312 9.92559	-1.11188 56.1491 7.99957	-1.04322 60.861 7.17631	0.228777 53.4708 7.58222	5.30769 56.4484 8.22032	15.5087 54.2288 7.54906	24.1915 54.0416 4.1965	-2.1486 53.3664 7.42791	-7.2334 56.2181 8.46784	-17.3711 53.645 8.25818	-26.0208 53.8876 4.82437	2.48329 33.8353 5.52934	3.21248 17.9667 8.04873	4.05456 2.22624 9.58479	-4.58204 34.1509 5.70268	-4.27064 18.2766 8.27152	-4.15886 2.55229 10.1602	
-0.977009 34.9826 5.91101	-0.829471 36.9262 8.36768	-0.746053 40.2519 9.38605	-0.710715 43.6696 10.0353	-0.811362 47.1445 9.89526	-1.07041 56.1664 7.98607	-1.00883 60.8786 7.16416	0.266563 53.487 7.56351	5.3417 56.4711 8.20176	15.5458 54.2726 7.50857	24.2294 54.0748 4.1585	-2.11097 53.3861 7.40941	-7.19076 56.2453 8.45332	-17.3327 53.6894 8.24037	-25.9815 53.9487 4.80553	2.50313 33.8394 5.50888	3.22129 17.9705 8.02931	4.0539 2.23114 9.58247	-4.562 34.1619 5.67804	-4.25802 18.2942 8.28863	-4.16966 2.56773 10.16	
-0.95691 34.9864 5.88721	-0.808847 36.9321 8.34216	-0.724424 40.2594 9.35521	-0.687964 43.6782 9.99882	-0.785843 47.1532 9.86171	-1.03662 56.1783 7.96646	-0.980662 60.8918 7.15147	0.298073 53.4984 7.53998	5.36968 56.4878 8.18123	15.5786 54.3142 7.48036	24.2617 54.1318 4.12818	-2.07953 53.3998 7.38531	-7.1552 56.2652 8.4323	-17.3044 53.7384 8.21854	-25.9545 54.019 4.78871	2.52317 33.843 5.48521	3.22888 17.9727 8.00042	4.05197 2.23563 9.58134	-4.54192 34.1653 5.65584	-4.24745 18.3038 8.30479	-4.18783 2.57522 10.1593	
-0.93651 34.9816 5.86511	-0.787526 36.9292 8.31855	-0.70279 40.2575 9.32815	-0.66619 43.6769 9.96845	-0.762617 47.152 9.83228	-1.00645 56.1784 7.94264	-0.955573 60.8932 7.13497	0.326532 53.4979 7.51495	5.39304 56.495 8.16053	15.6077 54.3489 7.45962	24.2885 54.2029 4.09949	-2.05108 53.4011 7.35937	-7.12116 56.2767 8.40543	-17.2776 53.7798 8.18235	-25.9353 54.0816 4.77367	2.54347 33.8381 5.46251	3.23334 17.9679 7.98304	4.05129 2.23226 9.58049	-4.52157 34.1602 5.63586	-4.2295 18.3051 8.32322	-4.19534 2.57451 10.1615	
-0.91751 34.9756 5.84701	-0.767834 36.9246 8.29923	-0.683439 40.2538 9.30601	-0.647534 43.6739 9.94288	-0.742873 47.149 9.80491	-0.981487 56.1752 7.91366	-0.932803 60.8921 7.11797	0.35087 53.4941 7.48762	5.41418 56.4959 8.13662	15.6362 54.3816 7.44504	24.3142 54.2823 4.0763	-2.02663 53.3982 7.32983	-7.09348 56.2816 8.37002	-17.2588 53.8216 8.13962	-25.929 54.1342 4.76391	2.56268 33.8332 5.44299	3.23648 17.9652 7.98089	4.05015 2.22961 9.58153	-4.50238 34.1526 5.62037	-4.21142 18.3004 8.32436	-4.19429 2.56991 10.1641	
