Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-2.2213 35.2208 7.8412	-2.03331 37.8296 9.56488	-2.14322 41.2559 10.1346	-2.28878 44.7206 10.3612	-2.51267 48.1883 10.3253	-3.05712 57.2812 8.93392	-2.98654 61.9495 7.91688	-1.68305 54.553 8.36002	3.92007 56.0317 8.76621	14.1712 55.7792 10.9428	22.7751 57.3075 8.93781	-4.0156 54.3998 8.27127	-9.6382 55.8326 7.98843	-19.6896 55.9224 10.963	-28.2796 58.07 9.55504	1.20354 34.0774 7.66548	2.87378 18.5113 5.37031	4.40517 2.51902 9.93354	-5.72201 34.3383 8.02588	-5.04079 18.5328 8.31311	-4.33434 1.88993 9.51148	
-2.1894 35.1226 7.6991	-1.96184 37.7446 9.39784	-2.0431 41.1696 9.98006	-2.16274 44.6329 10.2405	-2.38557 48.1009 10.2337	-2.94822 57.2026 8.90895	-2.88949 61.876 7.9152	-1.57547 54.4798 8.30688	4.03167 55.9491 8.69163	14.2955 55.7107 10.8093	22.8945 57.2783 8.81342	-3.90842 54.3248 8.23294	-9.53506 55.7492 7.99094	-19.5775 55.8591 10.9953	-28.1596 58.049 9.60468	1.21544 33.9176 7.54754	2.79711 18.2086 6.50554	4.46854 1.92999 9.84207	-5.70571 34.3035 7.8792	-5.0379 18.4989 8.23832	-4.34643 1.86049 9.50578	
-2.11221 35.1278 7.53311	-1.91249 37.7528 9.23058	-1.96179 41.1728 9.84556	-2.05079 44.6332 10.1519	-2.26618 48.1017 10.1636	-2.8265 57.207 8.86308	-2.78566 61.8839 7.88475	-1.46003 54.4842 8.24707	4.16342 55.8936 8.61706	14.4367 55.6392 10.6864	23.0233 57.2435 8.66677	-3.79352 54.3319 8.18578	-9.43739 55.6942 7.99227	-19.4655 55.7913 11.0446	-28.0357 58.0269 9.65335	1.29771 33.9327 7.42368	2.73372 18.1778 7.13694	4.41487 1.81748 10.0411	-5.62798 34.2986 7.67269	-4.99904 18.4956 8.15516	-4.34908 1.86234 9.50835	
-2.00031 35.2311 7.36361	-1.90884 37.8567 9.06947	-1.96114 41.2686 9.72728	-2.0354 44.7244 10.0856	-2.2163 48.1948 10.1051	-2.68538 57.3041 8.7965	-2.67747 61.9834 7.8288	-1.34544 54.5674 8.18386	4.29641 55.899 8.56188	14.578 55.5671 10.5785	23.1457 57.1861 8.49154	-3.68028 54.4381 8.12081	-9.34733 55.7095 7.99908	-19.3518 55.7123 11.1294	-27.9069 57.9725 9.68581	1.44123 34.1254 7.33222	2.78218 18.3595 7.35999	4.38724 1.95956 10.0776	-5.49558 34.3103 7.41946	-4.91562 18.5111 8.0592	-4.33329 1.88321 9.50609	
-1.89501 35.3721 7.25011	-1.94406 38.0097 8.93917	-2.04495 41.4173 9.61304	-2.13376 44.8696 10.0007	-2.25535 48.3424 10.0353	-2.53555 57.4636 8.75527	-2.56027 62.1444 7.79493	-1.24292 54.7036 8.1456	4.40805 55.9913 8.53925	14.6969 55.5249 10.4911	23.2458 57.0998 8.29583	-3.5791 54.6198 8.0597	-9.25899 55.8372 8.00134	-19.2306 55.6798 11.231	-27.7847 57.8962 9.71569	1.57998 34.3797 7.33648	2.87713 18.6118 7.56284	4.37375 2.1631 10.0366	-5.35838 34.3375 7.20097	-4.81645 18.5404 7.92142	-4.30305 1.92214 9.49949	
-1.80771 35.473 7.1947	-1.95693 38.1323 8.84326	-2.11069 41.5405 9.50474	-2.21962 44.9924 9.89075	-2.28857 48.4662 9.95335	-2.3965 57.6032 8.76249	-2.44186 62.2846 7.8064	-1.14612 54.827 8.13801	4.50437 56.1146 8.53893	14.8011 55.5327 10.4169	23.3357 57.0304 8.11475	-3.48241 54.7851 8.02792	-9.16116 56.0086 7.99103	-19.1092 55.7297 11.2845	-27.6854 57.866 9.77845	1.68021 34.5462 7.40284	2.94133 18.7767 7.71036	4.38746 2.29913 10.0162	-5.24867 34.3741 7.05334	-4.72956 18.5747 7.73972	-4.27345 1.97127 9.48287	
-1.72451 35.5283 7.1664	-1.92893 38.2068 8.77759	-2.11101 41.6173 9.41924	-2.23116 45.0705 9.7906	-2.27493 48.5442 9.87716	-2.29212 57.6927 8.77327	-2.32672 62.3774 7.8328	-1.06146 54.9115 8.13212	4.58815 56.2029 8.53333	14.8957 55.5686 10.3334	23.4208 57.0205 7.96766	-3.39707 54.8916 8.00306	-9.07102 56.1369 7.95624	-19.0132 55.8455 11.2663	-27.6224 57.9235 9.87169	1.76407 34.6289 7.46437	3.02241 18.8615 7.87092	4.44979 2.35909 10.0047	-5.15385 34.4033 6.96175	-4.66765 18.5994 7.56165	-4.2682 2.01228 9.46652	
-1.63891 35.5404 7.143	-1.86219 38.2297 8.73363	-2.04688 41.6419 9.36538	-2.16952 45.0956 9.73027	-2.21324 48.5692 9.82612	-2.21813 57.7222 8.76058	-2.21985 62.4123 7.84706	-0.987083 54.9427 8.11298	4.66546 56.2211 8.51421	14.9857 55.5998 10.2449	23.4993 57.0634 7.84515	-3.32214 54.9253 7.97394	-8.99172 56.1892 7.90301	-18.9434 55.9856 11.1909	-27.5837 58.0428 9.96812	1.84624 34.6441 7.48669	3.10719 18.8804 8.01505	4.50618 2.35739 10.003	-5.06547 34.4131 6.90698	-4.62778 18.6048 7.42302	-4.2864 2.03187 9.45831	
-1.55702 35.5235 7.10111	-1.77598 38.2142 8.68988	-1.95051 41.6264 9.32453	-2.07287 45.0795 9.69583	-2.12995 48.5529 9.79019	-2.16403 57.7055 8.72165	-2.12401 62.4014 7.83925	-0.921958 54.9301 8.07771	4.73656 56.1793 8.48658	15.0665 55.6081 10.1762	23.5602 57.1125 7.73151	-3.25663 54.9045 7.93346	-8.91962 56.196 7.83714	-18.8872 56.1211 11.0821	-27.5524 58.1738 10.0415	1.92425 34.616 7.45483	3.17169 18.8567 8.12423	4.52103 2.31814 10.015	-4.98654 34.4072 6.85613	-4.59784 18.5965 7.3385	-4.30726 2.03334 9.45909	
-1.46462 35.4941 7.03021	-1.67117 38.1762 8.63521	-1.8368 41.5866 9.2819	-1.96058 45.0383 9.66507	-2.03647 48.5115 9.75377	-2.1189 57.6614 8.66517	-2.03841 62.3625 7.81355	-0.861615 54.8913 8.02802	4.80241 56.1112 8.44883	15.1362 55.5932 10.1321	23.6047 57.1431 7.62916	-3.19603 54.8529 7.88249	-8.84885 56.1862 7.76234	-18.8287 56.2263 10.9699	-27.5129 58.2744 10.0905	2.01533 34.5753 7.36731	3.22667 18.8206 8.19295	4.52359 2.2708 10.0212	-4.89791 34.3884 6.79	-4.56052 18.5777 7.30888	-4.31874 2.01798 9.46225	
