Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-1.3734 31.6315 6.813	-1.46402 33.7085 8.66952	-1.58933 36.7082 9.40967	-1.70205 39.7641 9.86767	-1.89015 42.8471 10.0151	-2.20367 51.0039 9.24263	-2.19754 55.1566 8.33001	-0.977391 48.5955 8.66382	4.09182 49.5153 9.10629	13.1994 50.1888 7.39038	20.8436 50.7529 5.95413	-3.04565 48.4952 8.44459	-8.09734 49.0818 7.50913	-17.1925 48.6658 9.36657	-24.9006 48.6454 8.18331	1.67828 30.6222 6.96392	3.72131 16.2353 3.2274	6.23347 3.01894 8.32884	-4.46916 30.8554 6.40304	-4.5404 15.854 6.13507	-4.61317 1.70259 8.73149	
-1.2579 31.55 6.6654	-1.29897 33.6345 8.51526	-1.38471 36.6299 9.27802	-1.46383 39.6828 9.763	-1.66011 42.764 9.9339	-2.03239 50.9232 9.21443	-2.061 55.0816 8.32893	-0.795519 48.5263 8.61066	4.27778 49.4344 9.02987	13.3683 50.1946 7.26051	21.0131 50.8113 5.84938	-2.86484 48.414 8.4079	-7.92556 48.9902 7.51581	-17.0126 48.579 9.41392	-24.7293 48.5719 8.28824	1.77213 30.4767 6.81085	3.68048 15.8324 4.16118	6.1786 2.51538 9.00107	-4.37062 30.8384 6.26698	-4.51673 15.8368 6.04269	-4.62951 1.70489 8.74168	
-1.13761 31.5006 6.54151	-1.16029 33.5902 8.38588	-1.21029 36.5822 9.16514	-1.25683 39.6327 9.66906	-1.4492 42.7131 9.85712	-1.8469 50.8752 9.18465	-1.90493 55.0391 8.32679	-0.607187 48.4849 8.56075	4.47343 49.3607 8.9594	13.5446 50.1946 7.12535	21.1884 50.8522 5.72674	-2.67732 48.3682 8.36903	-7.75079 48.901 7.52359	-16.828 48.48 9.46574	-24.5512 48.4838 8.38514	1.88162 30.3981 6.69314	3.65469 15.5998 4.96543	6.05654 2.09018 9.29312	-4.2567 30.8184 6.14146	-4.46764 15.817 5.96637	-4.62835 1.70146 8.74757	
-1.00201 31.4976 6.44451	-1.04161 33.5897 8.28576	-1.07431 36.5797 9.07366	-1.10084 39.6288 9.58704	-1.2753 42.7096 9.78652	-1.65283 50.8758 9.15444	-1.74293 55.0443 8.32174	-0.420902 48.4853 8.51614	4.66642 49.3288 8.89878	13.721 50.2027 7.0022	21.3608 50.8788 5.59109	-2.49177 48.3751 8.32862	-7.57929 48.8463 7.53247	-16.6405 48.3776 9.53737	-24.3667 48.3791 8.47798	2.01925 30.4036 6.61599	3.70548 15.5203 5.743	5.9357 1.7796 9.37989	-4.11674 30.8063 6.02652	-4.39218 15.8054 5.89267	-4.61766 1.70515 8.74558	
-0.851114 31.5388 6.37701	-0.936947 33.6332 8.21403	-0.970768 36.6224 9.00494	-0.991186 39.6711 9.52098	-1.13719 42.753 9.72561	-1.45641 50.9236 9.11801	-1.57862 55.0964 8.3117	-0.23972 48.5266 8.47506	4.85212 49.3474 8.84676	13.8966 50.2198 6.90227	21.5285 50.8924 5.4471	-2.31087 48.4313 8.28255	-7.41098 48.8413 7.53449	-16.4508 48.2855 9.61244	-24.1794 48.2646 8.57136	2.18294 30.4863 6.5796	3.81318 15.5734 6.32215	5.92773 1.67459 9.38144	-3.95197 30.8045 5.93023	-4.29417 15.8048 5.82725	-4.60385 1.71879 8.74232	
-0.698517 31.6129 6.33751	-0.849422 33.713 8.16386	-0.901267 36.7006 8.95933	-0.927578 39.7484 9.48071	-1.03792 42.8318 9.68605	-1.26849 51.0057 9.08284	-1.4164 55.1825 8.3021	-0.072533 48.5966 8.44593	5.02154 49.4069 8.81022	14.0597 50.2468 6.82259	21.6797 50.9013 5.29823	-2.14326 48.523 8.23987	-7.25236 48.8882 7.531	-16.2668 48.2144 9.68321	-23.9986 48.1467 8.66828	2.35302 30.622 6.58331	3.9327 15.7015 6.62119	5.96662 1.71949 9.33706	-3.77821 30.815 5.85473	-4.18648 15.8169 5.76079	-4.58318 1.74452 8.73038	
-0.557619 31.6988 6.3284	-0.776068 33.8106 8.1343	-0.859028 36.7976 8.92974	-0.902673 39.8447 9.45379	-0.975119 42.9293 9.65764	-1.09507 51.1053 9.05063	-1.25826 55.286 8.29414	0.0759348 48.6809 8.42568	5.17009 49.4917 8.78748	14.2053 50.2776 6.76437	21.8103 50.9056 5.15649	-1.9935 48.6337 8.19981	-7.10824 48.9714 7.51846	-16.0971 48.1751 9.73473	-23.8346 48.0289 8.7733	2.50992 30.7729 6.62348	4.07224 15.8512 6.77437	6.02627 1.82152 9.29566	-3.61356 30.8338 5.81152	-4.07354 15.8371 5.7226	-4.55263 1.77248 8.71659	
-0.42702 31.7703 6.34	-0.697067 33.8978 8.12027	-0.814011 36.8861 8.90652	-0.879432 39.9342 9.42256	-0.92242 43.0194 9.62511	-0.942943 51.1965 9.02085	-1.10982 55.3806 8.2842	0.205963 48.759 8.4057	5.29939 49.5768 8.76194	14.3359 50.3079 6.72437	21.9236 50.9163 5.02945	-1.86168 48.7357 8.16053	-6.97848 49.0683 7.49232	-15.9474 48.1735 9.75147	-23.6938 47.9298 8.88577	2.65052 30.8939 6.67879	4.22352 15.9737 6.86481	6.10746 1.91569 9.27937	-3.46377 30.8539 5.79907	-3.97343 15.8588 5.72767	-4.52663 1.79387 8.70765	
-0.300622 31.8115 6.36	-0.597108 33.9555 8.11616	-0.739481 36.9471 8.8854	-0.822349 39.9976 9.38413	-0.852831 43.0832 9.58425	-0.819003 51.2606 8.98597	-0.975599 55.4484 8.26788	0.318137 48.8165 8.37548	5.41157 49.6365 8.72664	14.4513 50.3323 6.69103	22.0223 50.9362 4.92134	-1.7482 48.8062 8.11867	-6.86392 49.151 7.4484	-15.822 48.203 9.72867	-23.5795 47.8636 9.00652	2.77979 30.9582 6.73026	4.36713 16.0397 6.92424	6.18422 1.96312 9.28156	-3.32749 30.8703 5.80645	-3.89901 15.8773 5.77391	-4.51361 1.80457 8.70467	
-0.175324 31.8229 6.3803	-0.477326 33.9824 8.11645	-0.630553 36.9773 8.87028	-0.722163 40.0302 9.35306	-0.756226 43.1161 9.54664	-0.72135 51.2929 8.93905	-0.855148 55.4849 8.2418	0.417468 48.8481 8.33425	5.51277 49.6551 8.68832	14.5532 50.3448 6.65349	22.1101 50.9596 4.82857	-1.64821 48.8374 8.07223	-6.76104 49.1963 7.38748	-15.719 48.2459 9.667	-23.4879 47.8289 9.13138	2.90308 30.971 6.77005	4.48548 16.0521 6.96904	6.22036 1.95975 9.29385	-3.2006 30.8787 5.82318	-3.84468 15.8886 5.85189	-4.51215 1.80331 8.7098	
