Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.717338 -0.00775918 -0.0753529 0.692595	0.679232 0.0172868 -0.0467798 0.732228	0.659631 0.0242322 -0.038723 0.7502	0.669005 -0.00239591 -0.0128308 0.743143	0.678968 -0.00982339 -0.00310752 0.734096	0.74073 -0.0439664 0.000404969 0.670362	0.782249 -0.0688133 0.0316255 0.618346	0.642478 0.105597 0.312221 0.691802	0.865268 -0.180865 -0.0355223 0.466195	0.882246 0.0551501 -0.15792 0.440069	0.743003 0.161791 -0.0340077 0.648547	0.626767 -0.212436 -0.194362 0.724056	0.819579 0.157092 0.0522639 0.548527	0.832298 -0.0605544 0.192559 0.516269	0.739517 -0.0856605 0.151757 0.65019	0.743886 -0.0108604 0.0867022 0.662569	0.649427 -0.022265 0.0844955 0.755387	0.738971 0.030298 0.0193537 0.672778	0.736032 0.0523502 -0.0137448 0.674779	0.653484 0.0535842 -0.00762869 0.755003	0.706188 0.119659 -0.0738295 0.693923	
0.715477 0.00823966 -0.0810536 0.69387	0.680643 0.0243939 -0.0610272 0.729662	0.66212 0.0327991 -0.0520672 0.746867	0.668632 0.00824721 -0.0166773 0.74336	0.677629 0.000676662 -0.00436484 0.73539	0.74218 -0.0416488 -0.000906379 0.668904	0.783432 -0.0653345 0.0338711 0.617105	0.642704 0.0957998 0.30949 0.69424	0.867921 -0.181839 -0.0357384 0.460838	0.884775 0.0593672 -0.158893 0.434052	0.745628 0.166826 -0.0282222 0.644524	0.628139 -0.198606 -0.193759 0.726949	0.820595 0.160827 0.0550746 0.545643	0.834009 -0.0605759 0.196593 0.511967	0.741619 -0.0874338 0.150677 0.647806	0.734186 0.00942982 0.0576737 0.676428	0.652932 0.00284335 0.0583704 0.755159	0.753885 0.0253669 0.0175305 0.656283	0.740615 0.0562082 -0.0232234 0.669172	0.649207 0.0587113 -0.015864 0.758176	0.704899 0.119494 -0.0748658 0.69515	
0.705322 0.0286398 -0.0681535 0.705022	0.678874 0.0341547 -0.0573903 0.731211	0.663271 0.037509 -0.0520325 0.745626	0.667137 0.0060078 -0.0239439 0.744526	0.675757 -0.000856483 -0.0125431 0.737017	0.745163 -0.0340037 -0.00196851 0.666012	0.78256 -0.0624313 0.0355249 0.618417	0.644125 0.0869949 0.304205 0.696415	0.871129 -0.188238 -0.0373847 0.451998	0.889098 0.0616789 -0.161721 0.423729	0.753469 0.172886 -0.0211113 0.633995	0.632843 -0.18198 -0.191905 0.727713	0.82244 0.17167 0.0604332 0.538953	0.838174 -0.0578055 0.20433 0.502366	0.747505 -0.0893913 0.149693 0.640966	0.737733 0.0277106 0.0304242 0.673837	0.652766 0.0239137 0.033491 0.756441	0.740642 0.0257695 0.0177937 0.67117	0.747709 0.0563261 -0.0289519 0.661	0.645127 0.0598975 -0.0205703 0.761446	0.701957 0.116964 -0.0756313 0.698467	
0.701927 0.0329817 -0.0499438 0.70973	0.678362 0.035241 -0.042611 0.732644	0.663157 0.0326805 -0.041702 0.746603	0.668737 -0.00450924 -0.0298835 0.742885	0.677653 -0.00985592 -0.0216071 0.734998	0.746086 -0.0259574 -0.00281728 0.665337	0.777689 -0.0586795 0.0385491 0.624716	0.647428 0.0880013 0.300716 0.694739	0.872442 -0.193899 -0.0396491 0.44685	0.891686 0.0604005 -0.16424 0.41746	0.763395 0.173734 -0.0206719 0.621785	0.63947 -0.178031 -0.191252 0.723053	0.821489 0.185242 0.0641593 0.535467	0.840492 -0.0522682 0.211573 0.496062	0.753045 -0.086828 0.158308 0.632711	0.739595 0.0236521 0.0340715 0.671773	0.656516 0.0195324 0.0365893 0.753171	0.723703 0.020659 0.0174324 0.689582	0.747068 0.0513233 -0.0251062 0.662287	0.645387 0.0543699 -0.0175592 0.761716	0.699942 0.113134 -0.0769662 0.700969	
0.706364 0.0224442 -0.0380377 0.70647	0.679943 0.0277672 -0.0288592 0.73217	0.662968 0.0228284 -0.0300091 0.747698	0.671492 -0.0125536 -0.0306047 0.740273	0.680722 -0.0168806 -0.0259344 0.731888	0.744962 -0.0241706 -0.00436263 0.666654	0.775742 -0.0560509 0.0414673 0.627186	0.651036 0.0917416 0.299398 0.691445	0.872117 -0.193684 -0.0417662 0.447386	0.891407 0.0591133 -0.165765 0.417637	0.769522 0.172314 -0.028233 0.614285	0.642796 -0.181818 -0.191691 0.719034	0.817109 0.194177 0.0653829 0.538844	0.838537 -0.0472051 0.216511 0.497745	0.753565 -0.080837 0.174539 0.628602	0.739251 0.0029263 0.0594201 0.670797	0.657921 -0.00386977 0.0593661 0.750733	0.717925 0.0195787 0.0153892 0.695674	0.739153 0.0452011 -0.0169762 0.671805	0.649936 0.0469604 -0.0112273 0.758454	0.700026 0.109483 -0.079145 0.701223	
0.713582 0.0100397 -0.032732 0.699734	0.682718 0.0185298 -0.0223091 0.730106	0.663937 0.014827 -0.0229532 0.747289	0.673267 -0.0143985 -0.0258883 0.738806	0.682497 -0.0186276 -0.0231337 0.730284	0.743003 -0.0303122 -0.00627339 0.668571	0.778392 -0.0559002 0.0422933 0.623853	0.652898 0.0940462 0.298373 0.689821	0.87085 -0.188879 -0.0431286 0.451757	0.889046 0.0604349 -0.166909 0.422002	0.766475 0.171905 -0.0396052 0.617573	0.639942 -0.184433 -0.192382 0.720727	0.809676 0.196003 0.0654497 0.549294	0.831852 -0.0448953 0.220511 0.507328	0.746886 -0.0756262 0.19011 0.632693	0.736816 -0.0159009 0.0816213 0.67096	0.657817 -0.0248592 0.079353 0.748573	0.719503 0.016656 0.0115951 0.694192	0.730717 0.0389388 -0.00966902 0.6815	0.654241 0.0397452 -0.0054807 0.755221	0.701176 0.108646 -0.080463 0.700053	
0.719354 0.00275857 -0.0338889 0.693811	0.685045 0.0122523 -0.0238896 0.728006	0.665994 0.0117359 -0.0224255 0.745527	0.673975 -0.0112841 -0.0202588 0.73839	0.682749 -0.015777 -0.0171083 0.730282	0.740366 -0.0376722 -0.00767582 0.671103	0.781641 -0.0590824 0.0401996 0.619622	0.651558 0.0968515 0.298196 0.690775	0.868616 -0.183613 -0.0439895 0.458101	0.885521 0.0637217 -0.168941 0.428078	0.754526 0.172544 -0.046999 0.631435	0.632923 -0.184273 -0.192515 0.726904	0.801139 0.192669 0.0658452 0.562778	0.822778 -0.0445265 0.224063 0.520433	0.732214 -0.0732954 0.198741 0.647296	0.734394 -0.0273438 0.0937814 0.671657	0.657217 -0.0373536 0.0902627 0.747344	0.723434 0.0113392 0.00696864 0.690266	0.72592 0.0328045 -0.00414649 0.686984	0.656745 0.0330509 -0.000983725 0.753387	0.702325 0.109244 -0.080081 0.69885	
0.722605 0.00212539 -0.0398705 0.690107	0.686821 0.0115366 -0.0299705 0.726117	0.669111 0.0140394 -0.0261548 0.742569	0.674615 -0.00622507 -0.0169533 0.737949	0.682592 -0.0112216 -0.0123115 0.73061	0.738155 -0.0418638 -0.00733342 0.673291	0.782227 -0.0656758 0.035812 0.618486	0.649384 0.101213 0.299233 0.691748	0.866515 -0.179943 -0.0449978 0.463409	0.882474 0.066832 -0.171459 0.432868	0.743918 0.17478 -0.0466912 0.643318	0.625295 -0.184116 -0.191883 0.733681	0.79411 0.188456 0.0665354 0.573975	0.814965 -0.0442487 0.226425 0.531607	0.713936 -0.0744875 0.199969 0.666903	0.733204 -0.0297362 0.0951758 0.672659	0.655855 -0.0398917 0.0913857 0.748272	0.726669 0.00677552 0.00382373 0.686944	0.72439 0.0320988 -0.00532454 0.688622	0.657431 0.0324542 -0.00232588 0.752812	0.702913 0.111251 -0.0790969 0.698055	
0.721907 0.0069684 -0.0470818 0.690351	0.687129 0.0162937 -0.0361222 0.725454	0.670947 0.0200713 -0.0309832 0.740586	0.674649 -0.00198233 -0.016899 0.737942	0.68217 -0.00757542 -0.0106652 0.731076	0.738529 -0.0420171 -0.00586188 0.672885	0.780758 -0.0717828 0.0322343 0.619859	0.647875 0.104291 0.301539 0.691705	0.865841 -0.178339 -0.045829 0.465203	0.881346 0.0686678 -0.172991 0.434268	0.742932 0.17833 -0.0418776 0.643814	0.619892 -0.183158 -0.191608 0.738562	0.790956 0.186536 0.0670244 0.578878	0.811536 -0.042628 0.226585 0.536891	0.701203 -0.0754102 0.196075 0.681309	0.732905 -0.0287746 0.092244 0.673434	0.654523 -0.0387299 0.0885264 0.749842	0.728297 0.00546228 0.00367467 0.68523	0.725897 0.0360853 -0.011912 0.686753	0.656494 0.0370636 -0.00838679 0.753374	0.703063 0.112803 -0.07841 0.697732	
0.719718 0.0135211 -0.0523922 0.692155	0.686942 0.0224867 -0.0405526 0.725231	0.671204 0.0258689 -0.0353617 0.739977	0.674497 0.000536138 -0.0186014 0.738043	0.682139 -0.00551684 -0.0108253 0.731122	0.740926 -0.040601 -0.00441036 0.670343	0.778903 -0.0743617 0.0313516 0.621931	0.647191 0.104407 0.303552 0.691447	0.866064 -0.177732 -0.0460609 0.464998	0.881287 0.0706323 -0.173806 0.433746	0.748326 0.181333 -0.0381325 0.636924	0.619406 -0.180804 -0.191621 0.739546	0.791813 0.187613 0.0668839 0.577374	0.812757 -0.03991 0.22476 0.53602	0.700026 -0.0747044 0.190379 0.684207	0.732401 -0.0284011 0.09006 0.674294	0.653708 -0.0381441 0.0863854 0.750832	0.72832 0.00616676 0.00480673 0.685193	0.727948 0.0414343 -0.0195644 0.6841	0.654882 0.0432035 -0.0152652 0.754341	0.702941 0.113317 -0.078632 0.697747	
